tm,adv.input,coor.input,delay.input,gc,ym,yy,hlfdl,hyzzl,hyl,gyzjz,kcls,hcls,yylc,cyrysl,jcts
2001/12/1,0,0,0,15745.37,96047.55,21143.4,11767.51,11737.70729,13.95587441,109655.1706,38780,453620,70057.2,262.81,15756
2002/12/1,0,0,0,19218.34,110807.13,21964.46,13287.64,12395.66418,14.60493103,120332.6893,39438,459017,71897.5,251,16026
2003/12/1,0,0,0,23581.58,131522.66,24176.66,15421.26,13432.51555,15.54219309,135822.7561,40487,510327,73002,235.5,16320
2004/12/1,0,0,0,29738.7,156520.55,27462.49,17701.71,14936.56807,17.01943251,159878.3379,41353,526894,74407.7,224.22,17022
2005/12/1,0,0,0,37117.02,180990.73,29012.35,19857.23,16855.28993,20.89440849,184937.369,41974,548368,75437.6,223.08,17473
2006/12/1,0,0,0,46685.43,206367,30302.55,23188.78,18011.9374,22.49645846,216314.4259,42659,564899,77083.8,221.01,17799
2007/12/1,0,0,0,56460.8,229892.1,32739.55,27012.6,19585.90796,24.34921835,265810.3058,44243,577521,77965.9,216.92,18306
2008/12/1,0,0,0,58177.3,258566.4,34144.53,27857.4,20355.88173,25.35885316,314045.4271,45076,591793,79687.3,213.1,18437
2009/12/1,0,0,0,69243.72,298399.34,37321.69,29814.22,20496.09263,25.6964624,340902.8126,49354,601412,85517.8,211.9194,18922
2010/12/1,0,0,0,79627.4,338712.2885,42305.43,33253.4,22755.07287,28.9020191,401512.7952,52275,628887,91178.46,215.09,19431
2011/12/1,0,0,0,88131.12,385103.6,44585.78,38137.3,24513.73516,30.89178547,473104.0486,54731,651175,93249.643,214,20721
2012/12/1,0,0,0,95186.11,364042.25,46492.61,37867,24239.37234,30.43031477,518942.1073,57721,670656,97625.499,218.38,20797
2013/12/1,0,0,0,106762.2,360162.25,47857.6,35348.14,24012.58913,30.364701,568845.21,58820,688042,103144.5,218.17,20835
